Название,Наполнение квартиры
Описание,"Набор включает в себя название предметов домашнего обустройства для двухкомнатной квартиры: название предмета мебели или домашней утвари, комната его предназначения, ссылка на предмет в интернет-каталоге магазина ""Икеа"", стоимость одной единицы товара, необходимое количество предметов данного товара, вес предмета, итоговый вес (может пригодиться при доставке), цена за нужное количество товаров, итоговая сумма"
Дата сбора данных,10/19/2021
Источник данных,ikea.com
Кто собирал данные,Велина Алиса
Формат,"xls, csv (разделители - запятые)"
